student_id,first_name,last_name,age,gender,grade_level,attendance_rate,math_score,science_score,english_score,average_score,assignments_completed,behavior_incidents,previous_failures,study_hours_per_week,extracurricular,notify_parents
S0044,James,Edwards,16,Male,10,62.5,91,55,75,73.67,73.1,0,4,3.1,Yes,Yes
S0045,Olivia,Kelly,12,Female,6,85.5,96,80,46,74.0,93.4,1,2,17.5,No,No
S0046,Zoe,Ramirez,12,Female,6,73.9,98,46,98,80.67,92.2,2,1,14.9,Yes,No
S0047,Emily,Collins,17,Female,11,69.9,62,100,50,70.67,72.1,0,0,12.3,No,No
S0048,Nolan,Brooks,16,Male,10,94.8,73,69,58,66.67,85.7,5,0,5.3,Yes,Yes
S0049,James,Robinson,16,Male,10,77.0,47,82,61,63.33,79.3,0,1,11.7,No,Yes
S0050,Emma,Roberts,15,Female,9,88.7,41,95,85,73.67,81.0,2,0,14.2,No,No
S0051,Aaron,Chavez,16,Male,10,88.7,66,54,47,55.67,94.2,1,2,8.2,No,Yes
S0052,Elizabeth,Miller,15,Female,9,76.0,44,69,76,63.0,73.6,0,0,19.3,No,Yes
S0053,Daniel,Rivera,13,Male,7,88.0,65,44,94,67.67,90.7,1,1,9.3,No,No
S0054,Sebastian,White,13,Male,7,86.6,70,63,52,61.67,77.0,2,0,5.5,Yes,No
S0055,Evelyn,Hill,15,Female,9,86.5,83,92,66,80.33,73.3,3,1,18.7,Yes,No
S0056,Owen,Robinson,12,Male,6,90.8,93,66,83,80.67,85.8,3,0,7.3,No,No
S0057,Penelope,Reed,18,Female,12,71.8,67,69,99,78.33,96.6,2,0,2.4,Yes,No
S0058,Grayson,Allen,17,Male,11,78.2,47,42,87,58.67,82.7,1,1,4.0,No,Yes
S0059,Grace,Young,16,Female,10,74.2,56,89,60,68.33,80.4,6,0,15.5,No,Yes
S0060,Lily,Morales,12,Female,6,87.4,84,45,80,69.67,54.2,2,1,8.4,Yes,Yes
S0061,Amelia,Davis,16,Female,10,85.2,79,83,57,73.0,60.9,2,0,15.1,Yes,No
S0062,Ethan,Davis,12,Male,6,97.1,68,89,43,66.67,85.5,1,0,10.6,Yes,No
S0063,Brooklyn,Parker,18,Female,12,74.8,45,40,51,45.33,67.5,0,0,2.0,No,Yes
S0064,Christopher,Scott,12,Male,6,74.5,85,45,90,73.33,58.5,4,1,3.4,Yes,Yes
S0065,Matthew,Gutierrez,12,Male,6,84.1,66,47,63,58.67,69.0,3,0,8.1,No,Yes
S0066,Sofia,Kelly,14,Female,8,86.8,90,93,73,85.33,76.9,2,2,17.9,Yes,No
S0067,Sofia,Allen,18,Female,12,69.0,82,94,79,85.0,86.1,0,3,13.8,Yes,Yes
S0068,Ava,Evans,12,Female,6,88.8,82,75,68,75.0,89.8,1,1,17.8,No,No
S0069,Ryan,Cook,16,Male,10,98.7,46,84,94,74.67,90.9,3,4,13.8,No,Yes
S0070,Mila,Nguyen,13,Female,7,77.6,60,42,44,48.67,77.3,3,1,19.3,No,Yes
S0071,Ryan,Martin,13,Male,7,92.9,44,66,61,57.0,65.6,1,0,12.5,Yes,Yes
S0072,Elijah,Carter,12,Male,6,87.3,85,47,45,59.0,71.3,1,0,10.6,Yes,No
S0073,Claire,Martinez,18,Female,12,68.9,48,51,51,50.0,80.8,4,0,14.3,No,Yes
S0074,Abigail,Green,18,Female,12,87.0,48,88,68,68.0,93.3,2,0,12.7,No,No
S0075,Ava,Flores,18,Female,12,75.8,63,61,41,55.0,78.0,1,2,13.5,Yes,Yes
S0076,Aubrey,Rogers,15,Female,9,81.9,78,59,91,76.0,87.6,2,3,9.5,No,No
S0077,Luna,Anderson,15,Female,9,86.6,42,82,100,74.67,95.0,2,0,18.2,No,No
S0078,Logan,Smith,12,Male,6,78.5,41,41,51,44.33,85.4,2,0,10.0,Yes,Yes
S0079,Adrian,Evans,17,Male,11,93.2,64,57,53,58.0,73.6,3,0,19.1,No,Yes
S0080,Nora,Brooks,17,Female,11,85.3,74,98,77,83.0,89.5,3,0,17.6,No,No
S0081,Henry,Bailey,13,Male,7,80.6,89,79,63,77.0,70.9,1,0,13.9,Yes,No
S0082,Victoria,White,15,Female,9,86.8,44,44,58,48.67,84.2,2,3,0.6,No,Yes
S0083,Amelia,Green,16,Female,10,65.1,42,56,88,62.0,70.8,2,2,18.6,No,Yes
S0084,James,Wilson,12,Male,6,81.8,63,46,62,57.0,79.3,0,0,12.6,Yes,No
S0085,Lincoln,Morgan,16,Male,10,92.7,55,96,44,65.0,86.4,2,2,1.9,No,Yes
S0086,Evelyn,Hill,15,Female,9,79.0,57,78,72,69.0,67.9,5,4,8.7,No,Yes
S0087,Joseph,Brown,17,Male,11,83.9,41,66,77,61.33,79.6,3,0,12.2,Yes,Yes
S0088,Ella,Brown,15,Female,9,82.2,90,75,73,79.33,74.6,0,0,19.7,No,No
S0089,Grayson,Chavez,17,Male,11,92.2,92,77,83,84.0,92.3,3,0,8.8,Yes,No
S0090,Evelyn,Flores,17,Female,11,90.6,97,99,40,78.67,70.3,1,0,1.3,No,No
S0091,Addison,Cooper,15,Female,9,80.5,82,47,71,66.67,82.2,0,1,13.3,No,No
S0092,Isabella,Kelly,16,Female,10,93.3,51,56,89,65.33,92.2,2,2,2.8,Yes,Yes
S0093,Levi,Sanchez,18,Male,12,64.3,42,60,73,58.33,64.0,4,0,19.5,No,Yes
S0094,Theodore,Young,17,Male,11,94.5,70,95,98,87.67,81.1,1,0,9.6,No,No
S0095,Sophia,Baker,15,Female,9,87.9,63,48,100,70.33,91.9,0,2,11.4,No,No
S0096,Emily,Peterson,13,Female,7,66.2,59,93,53,68.33,62.4,0,1,17.4,No,Yes
S0097,Owen,Reed,15,Male,9,81.9,63,84,100,82.33,63.0,3,2,14.3,Yes,Yes
S0098,Leah,Mitchell,16,Female,10,68.5,51,70,91,70.67,71.1,3,0,1.9,Yes,Yes
S0099,Liam,Jones,15,Male,9,76.8,61,68,89,72.67,71.0,1,1,3.4,Yes,No
S0100,Mila,Smith,18,Female,12,78.3,79,48,49,58.67,92.4,3,0,7.0,No,Yes
S0101,Leah,Lewis,17,Female,11,67.2,45,69,42,52.0,87.6,3,0,0.1,No,Yes
S0102,Isabella,Rivera,17,Female,11,77.0,89,87,95,90.33,92.7,3,1,13.8,No,Yes
S0103,Eli,Cook,13,Male,7,82.6,48,66,57,57.0,87.0,3,0,3.1,Yes,Yes
S0104,Savannah,Lee,13,Female,7,93.6,61,70,65,65.33,73.4,4,1,10.8,Yes,Yes
S0105,Sebastian,Richardson,16,Male,10,87.9,46,54,100,66.67,91.7,1,4,6.1,No,Yes
S0106,Zoe,Morris,16,Female,10,75.1,47,69,87,67.67,93.9,1,0,8.7,Yes,Yes
S0107,Madison,Hill,17,Female,11,76.8,52,69,58,59.67,87.3,4,3,2.4,Yes,Yes
S0108,Mason,Cook,16,Male,10,82.4,97,80,59,78.67,90.6,2,0,19.0,Yes,No
S0109,Isaac,King,15,Male,9,77.3,100,71,83,84.67,77.2,2,1,16.7,Yes,No
S0110,Aiden,Davis,17,Male,11,89.1,82,67,65,71.33,97.2,5,1,2.0,No,No
S0111,Theodore,Watson,13,Male,7,88.8,98,92,69,86.33,87.2,6,3,11.0,Yes,Yes
S0112,Ellie,Harris,15,Female,9,66.2,59,53,78,63.33,93.4,0,0,7.0,Yes,Yes
S0113,Eleanor,Miller,16,Female,10,89.7,55,70,61,62.0,60.0,3,0,7.8,Yes,Yes
S0114,Stella,Ramirez,12,Female,6,97.7,72,86,71,76.33,73.0,1,0,6.4,Yes,No
S0115,Ryan,Mitchell,12,Male,6,90.1,91,68,49,69.33,85.0,4,0,2.3,Yes,Yes
S0116,Emily,Green,15,Female,9,96.6,51,95,84,76.67,87.5,4,0,19.5,Yes,No
S0117,Theodore,Walker,12,Male,6,83.7,100,74,85,86.33,86.7,2,1,5.3,No,No
S0118,Matthew,Stewart,15,Male,9,91.6,97,67,47,70.33,74.0,1,0,13.4,Yes,No
S0119,Joseph,Cruz,14,Male,8,75.3,45,52,82,59.67,89.1,2,2,19.4,Yes,Yes
S0120,Gabriel,Thomas,15,Male,9,88.9,42,43,50,45.0,90.4,1,0,18.8,No,No
S0121,Mason,Johnson,18,Male,12,66.2,68,87,88,81.0,86.3,0,0,0.7,No,No
S0122,Lily,Ramirez,12,Female,6,96.4,83,46,90,73.0,89.9,3,0,1.1,Yes,No
S0123,Olivia,Wood,16,Female,10,61.2,54,80,77,70.33,60.9,4,1,11.8,Yes,Yes
S0124,Samuel,Brown,18,Male,12,97.7,54,61,96,70.33,72.1,0,0,4.0,Yes,No
S0125,Chloe,Green,12,Female,6,81.3,61,54,54,56.33,93.4,0,0,18.9,Yes,No
S0126,John,Young,15,Male,9,94.7,48,97,70,71.67,84.4,5,0,7.5,Yes,No
S0127,Matthew,Taylor,13,Male,7,78.1,67,57,86,70.0,88.9,3,0,19.3,Yes,Yes
S0128,David,Brooks,17,Male,11,82.8,71,76,77,74.67,74.8,0,1,19.9,No,No
S0129,Victoria,Gomez,17,Female,11,97.9,63,57,76,65.33,78.6,2,0,6.0,Yes,No
S0130,Wyatt,Cox,15,Male,9,93.1,57,86,42,61.67,90.2,3,1,12.4,Yes,Yes
S0131,Luke,Wright,14,Male,8,78.0,72,61,86,73.0,74.0,2,0,6.6,Yes,No
S0132,Isabella,Allen,13,Female,7,80.5,62,52,73,62.33,87.8,1,2,16.4,No,Yes
S0133,Penelope,Garcia,18,Female,12,91.5,95,84,42,73.67,92.4,5,0,2.4,No,No
S0134,Addison,Phillips,14,Female,8,77.4,61,99,52,70.67,81.7,1,0,2.8,No,No
S0135,Evelyn,Anderson,15,Female,9,96.8,97,53,84,78.0,75.5,2,0,19.5,No,No
S0136,Noah,Gomez,14,Male,8,93.1,66,57,80,67.67,61.7,2,1,18.3,No,Yes
S0137,Isaac,Wilson,13,Male,7,86.0,64,91,74,76.33,69.2,2,0,18.8,No,No
S0138,Lillian,Roberts,13,Female,7,92.3,86,45,48,59.67,69.5,1,0,16.3,Yes,Yes
S0139,Isaac,Rivera,18,Male,12,86.5,81,76,51,69.33,86.2,1,4,7.7,No,Yes
S0140,Lucy,Cooper,18,Female,12,84.6,84,86,84,84.67,74.9,0,0,6.4,No,No
S0141,James,Green,13,Male,7,85.0,80,40,44,54.67,94.6,1,2,13.5,No,Yes
S0142,Isabella,Clark,18,Female,12,72.2,75,56,45,58.67,84.7,1,1,1.8,Yes,Yes
S0143,Camila,Cruz,14,Female,8,86.9,74,59,99,77.33,81.6,5,4,4.0,Yes,Yes
S0144,Theodore,Parker,13,Male,7,74.4,57,43,85,61.67,71.0,6,1,5.5,Yes,Yes
S0145,Skylar,Murphy,14,Female,8,95.5,96,71,43,70.0,85.5,0,0,2.9,Yes,No
S0146,Ella,Sanchez,16,Female,10,90.7,80,73,66,73.0,79.7,1,0,16.3,Yes,No
S0147,Joshua,Martin,12,Male,6,62.5,78,43,94,71.67,84.9,2,1,11.0,Yes,No
S0148,Joseph,Clark,13,Male,7,81.2,62,79,50,63.67,83.1,0,0,3.5,Yes,No
S0149,Lucas,Gutierrez,15,Male,9,78.0,89,63,46,66.0,84.6,3,0,10.0,Yes,Yes
S0150,Victoria,Nguyen,16,Female,10,76.6,81,50,52,61.0,78.6,1,2,3.4,Yes,Yes
S0151,Violet,Hernandez,13,Female,7,78.4,57,60,90,69.0,72.5,2,1,18.0,Yes,Yes
S0152,Eleanor,Nelson,18,Female,12,81.3,82,53,41,58.67,69.0,3,1,6.5,No,Yes
S0153,Natalie,Garcia,18,Female,12,90.1,55,78,77,70.0,90.3,2,0,7.5,Yes,No
S0154,Sofia,Diaz,12,Female,6,72.1,45,70,93,69.33,77.3,0,0,9.9,No,Yes
S0155,Mason,Turner,18,Male,12,78.6,99,88,91,92.67,78.7,0,0,6.5,No,No
S0156,Jaxon,Martinez,15,Male,9,87.6,65,79,96,80.0,66.9,1,2,3.1,Yes,Yes
S0157,Daniel,Kim,17,Male,11,95.6,80,62,94,78.67,64.0,3,1,12.7,No,Yes
S0158,Gabriel,Parker,17,Male,11,77.9,76,56,47,59.67,83.4,3,0,11.2,Yes,Yes
S0159,Nolan,Walker,16,Male,10,83.2,74,81,99,84.67,86.0,0,1,4.9,No,No
S0160,Amelia,Ortiz,13,Female,7,91.9,47,41,44,44.0,96.5,3,1,8.5,No,Yes
S0161,Owen,Carter,18,Male,12,94.3,66,90,96,84.0,82.4,0,1,2.0,Yes,No
S0162,Savannah,Nelson,15,Female,9,82.5,99,90,74,87.67,87.9,2,1,13.5,No,No
S0163,Stella,Moore,14,Female,8,86.1,51,56,89,65.33,91.0,0,1,5.0,No,No
S0164,Wyatt,Peterson,18,Male,12,80.7,71,82,71,74.67,64.6,0,0,7.3,No,No
S0165,Grace,Edwards,13,Female,7,59.8,52,68,56,58.67,72.1,1,0,17.2,Yes,Yes
S0166,Aubrey,Lee,16,Female,10,87.0,98,86,75,86.33,78.9,2,0,13.1,Yes,No
S0167,Jackson,Chavez,13,Male,7,86.3,60,59,70,63.0,86.5,0,1,9.5,Yes,No
S0168,Sophia,Brown,18,Female,12,88.0,47,90,61,66.0,87.8,1,1,7.0,No,No
S0169,Dylan,Kelly,15,Male,9,89.1,45,40,63,49.33,90.2,0,0,12.1,Yes,No
S0170,Julian,Wood,15,Male,9,85.9,93,62,68,74.33,78.8,3,0,15.2,No,No
S0171,Carter,Miller,17,Male,11,87.8,59,46,62,55.67,80.2,1,4,15.8,Yes,Yes
S0172,Aiden,Nelson,12,Male,6,81.1,58,96,43,65.67,89.6,4,3,6.3,Yes,Yes
S0173,Julian,Wilson,14,Male,8,78.5,76,90,86,84.0,79.7,3,1,1.1,Yes,Yes
S0174,Scarlett,Howard,17,Female,11,92.2,80,91,68,79.67,87.4,3,0,4.9,Yes,No
S0175,Madison,Thomas,14,Female,8,94.6,78,64,56,66.0,84.9,1,1,9.4,Yes,No
S0176,Lily,Bailey,14,Female,8,93.8,78,96,62,78.67,59.2,1,1,4.8,Yes,No
S0177,Luna,King,14,Female,8,62.7,51,88,48,62.33,69.6,3,1,5.9,Yes,Yes
S0178,Aaron,Roberts,15,Male,9,85.8,95,71,95,87.0,49.3,2,0,8.8,No,No
S0179,Aria,Gomez,17,Female,11,96.7,77,70,64,70.33,94.0,4,1,4.1,No,No
S0180,Mason,Martin,13,Male,7,84.7,63,81,86,76.67,96.3,1,0,16.4,No,No
S0181,Noah,Lewis,12,Male,6,79.3,68,92,58,72.67,79.6,5,0,1.4,No,Yes
S0182,Ethan,Lewis,14,Male,8,67.0,67,73,72,70.67,80.4,2,1,8.6,Yes,No
S0183,Riley,Watson,12,Female,6,91.3,49,97,58,68.0,64.3,1,0,2.6,No,Yes
S0184,Abigail,Peterson,12,Female,6,98.0,88,78,82,82.67,84.0,2,1,0.9,Yes,No
S0185,Grayson,Hill,12,Male,6,94.8,62,64,72,66.0,87.5,0,0,17.6,Yes,No
S0186,Claire,Roberts,13,Female,7,85.7,47,46,63,52.0,80.1,3,3,9.5,No,Yes
S0187,Harper,Jones,15,Female,9,73.6,90,88,84,87.33,91.4,0,2,17.4,Yes,Yes
S0188,Jack,Roberts,17,Male,11,76.9,78,56,66,66.67,74.9,1,1,9.7,No,Yes
S0189,Lincoln,Cooper,14,Male,8,94.0,61,94,57,70.67,91.2,1,0,6.0,Yes,No
S0190,Jackson,Johnson,16,Male,10,80.0,48,54,44,48.67,83.1,0,1,10.8,No,No
S0191,Olivia,Sanchez,18,Female,12,82.8,88,77,51,72.0,82.7,3,0,19.5,Yes,No
S0192,Camila,Howard,15,Female,9,85.0,41,43,62,48.67,84.0,2,2,2.4,No,Yes
S0193,Ryan,Morales,14,Male,8,65.0,45,42,51,46.0,85.3,3,0,5.7,Yes,Yes
S0194,Olivia,Reed,12,Female,6,86.7,88,73,48,69.67,79.4,1,1,12.4,Yes,No
S0195,Violet,Evans,15,Female,9,91.7,90,83,99,90.67,86.3,2,1,10.3,No,No
S0196,Addison,Moore,12,Female,6,82.6,98,49,63,70.0,78.7,0,2,5.2,No,No
S0197,Skylar,Moore,14,Female,8,83.7,55,52,41,49.33,79.7,1,1,14.1,No,No
S0198,Lily,Watson,15,Female,9,78.8,53,86,62,67.0,57.7,1,1,11.4,No,Yes
S0199,Zoe,Wilson,14,Female,8,79.2,85,90,48,74.33,92.3,3,2,4.7,Yes,Yes
S0200,Samuel,Jones,14,Male,8,80.3,47,81,98,75.33,93.0,0,1,9.5,No,No
S0201,Hannah,Morgan,15,Female,9,91.5,50,78,86,71.33,95.0,0,2,7.3,Yes,No
S0202,Violet,Ward,13,Female,7,87.8,62,77,44,61.0,79.4,0,1,10.2,No,No
S0203,Abigail,Watson,16,Female,10,72.5,41,97,86,74.67,69.5,4,0,16.9,No,Yes
S0204,Chloe,Mitchell,16,Female,10,73.7,91,95,61,82.33,75.7,2,3,14.6,No,Yes
S0205,Mason,Allen,12,Male,6,76.2,67,45,49,53.67,62.8,2,1,14.5,Yes,Yes
S0206,Jaxon,Cruz,16,Male,10,94.6,42,89,45,58.67,73.7,2,1,2.7,No,No
S0207,Camila,Garcia,17,Female,11,73.0,89,53,55,65.67,60.5,0,3,6.5,No,Yes
S0208,Nolan,Allen,17,Male,11,77.8,56,83,49,62.67,88.1,2,2,0.8,No,Yes
S0209,Nathan,Jones,17,Male,11,76.5,73,64,40,59.0,93.1,1,0,4.4,No,Yes
S0210,Ava,Murphy,17,Female,11,94.6,98,57,72,75.67,72.4,1,0,5.2,No,No
S0211,John,Morris,13,Male,7,82.3,53,90,57,66.67,79.7,0,0,4.1,No,No
S0212,Abigail,King,15,Female,9,65.9,81,95,46,74.0,98.0,0,0,17.0,No,No
S0213,Luke,Martinez,12,Male,6,79.0,49,49,65,54.33,84.7,3,0,7.4,No,Yes
S0214,Luke,Gomez,16,Male,10,90.7,100,46,83,76.33,65.4,0,0,19.9,Yes,No
S0215,Grace,Richardson,17,Female,11,85.0,68,40,57,55.0,66.4,4,0,14.1,No,Yes
S0216,Mila,Collins,16,Female,10,91.9,44,40,76,53.33,81.1,0,0,1.4,Yes,No
S0217,Stella,Morales,16,Female,10,91.3,68,56,85,69.67,80.5,4,2,5.3,Yes,Yes
S0218,Skylar,Allen,18,Female,12,77.1,55,93,57,68.33,97.5,3,1,7.5,Yes,Yes
S0219,Logan,King,15,Male,9,86.6,60,72,42,58.0,77.3,3,0,0.4,Yes,Yes
S0220,Adrian,Williams,18,Male,12,92.4,66,76,94,78.67,90.2,1,1,10.1,Yes,No
S0221,Eleanor,Taylor,15,Female,9,75.0,45,77,81,67.67,85.2,0,3,17.8,Yes,Yes
S0222,Zoe,Cook,15,Female,9,75.4,70,72,92,78.0,83.3,0,2,6.4,Yes,Yes
S0223,Harper,Peterson,17,Female,11,92.2,57,76,93,75.33,95.6,2,2,3.8,Yes,No
S0224,Olivia,Perez,13,Female,7,94.2,43,55,94,64.0,58.5,0,1,11.7,Yes,Yes
S0225,Mila,Torres,15,Female,9,67.0,70,43,44,52.33,87.8,2,1,17.7,Yes,Yes
S0226,Penelope,Davis,14,Female,8,90.5,54,47,42,47.67,90.5,0,0,18.3,Yes,No
S0227,Harper,Perez,18,Female,12,94.8,52,87,73,70.67,93.4,0,1,16.8,Yes,No
S0228,Camila,Williams,14,Female,8,71.5,52,66,97,71.67,79.6,0,1,8.9,Yes,No
S0229,Lillian,Moore,18,Female,12,91.3,54,76,47,59.0,88.0,1,1,1.0,Yes,No
S0230,Levi,Adams,13,Male,7,92.0,87,72,83,80.67,55.6,3,3,3.2,Yes,Yes
S0231,Mia,Turner,15,Female,9,82.6,61,86,42,63.0,96.8,2,0,15.6,Yes,No
S0232,Isaac,Adams,15,Male,9,85.8,59,51,83,64.33,69.2,0,2,7.6,No,Yes
S0233,Penelope,King,18,Female,12,88.1,77,98,86,87.0,86.8,1,0,0.5,Yes,No
S0234,Hazel,Miller,18,Female,12,58.1,68,94,59,73.67,97.2,1,0,12.3,Yes,No
S0235,Christian,Bailey,14,Male,8,82.5,59,96,50,68.33,86.3,3,1,11.9,No,Yes
S0236,Emily,Ramirez,18,Female,12,88.0,48,40,74,54.0,74.4,2,3,15.1,No,Yes
S0237,Abigail,Torres,17,Female,11,90.7,83,83,98,88.0,93.0,2,1,5.1,No,No
S0238,Riley,White,17,Female,11,84.7,92,46,53,63.67,75.1,3,1,5.3,No,Yes
S0239,John,Edwards,17,Male,11,80.3,87,98,49,78.0,77.5,2,0,5.2,No,No
S0240,Madison,Kelly,15,Female,9,71.7,49,60,62,57.0,62.1,1,0,1.2,Yes,Yes
S0241,Jack,Rivera,13,Male,7,86.3,83,88,57,76.0,88.6,2,0,16.7,Yes,No
S0242,Nathan,Kelly,17,Male,11,73.6,52,92,99,81.0,70.1,1,3,2.3,No,Yes
S0243,Skylar,Rogers,15,Female,9,82.9,63,61,83,69.0,68.7,1,3,1.3,No,Yes
S0244,Sophia,Martinez,16,Female,10,92.3,90,72,100,87.33,89.7,2,0,16.3,Yes,No
S0245,Ellie,Edwards,15,Female,9,77.3,54,70,65,63.0,96.7,1,2,13.9,Yes,Yes
S0246,Theodore,Harris,13,Male,7,96.3,90,67,44,67.0,74.5,1,0,1.8,Yes,No
S0247,Jackson,Jackson,18,Male,12,88.5,77,45,70,64.0,96.8,0,0,15.6,Yes,No
S0248,Emma,Campbell,15,Female,9,89.6,95,82,89,88.67,94.5,2,1,17.7,Yes,No
S0249,Christopher,Watson,16,Male,10,80.3,93,45,75,71.0,67.6,5,0,2.4,No,Yes
S0250,Skylar,Wilson,14,Female,8,87.3,79,77,63,73.0,71.2,1,1,4.9,No,No
S0251,Bella,Wood,18,Female,12,83.1,78,98,60,78.67,57.3,2,1,18.1,No,No
S0252,Avery,Cox,14,Female,8,90.5,48,69,78,65.0,80.1,1,1,6.9,Yes,No
S0253,Lucy,Nguyen,15,Female,9,81.5,41,53,75,56.33,76.1,1,1,13.5,Yes,No
S0254,Logan,Hernandez,12,Male,6,81.3,93,41,71,68.33,89.3,4,2,8.2,No,Yes
S0255,Ellie,Harris,16,Female,10,84.4,52,43,47,47.33,68.1,0,0,8.0,No,Yes
S0256,Isaac,Walker,15,Male,9,85.2,46,47,99,64.0,78.5,5,2,3.2,No,Yes
S0257,David,Thomas,14,Male,8,88.7,52,61,79,64.0,93.1,2,0,9.7,No,No
S0258,Cameron,Davis,18,Male,12,58.0,96,61,93,83.33,55.5,0,2,7.6,Yes,Yes
S0259,Elijah,Smith,13,Male,7,55.1,48,63,79,63.33,75.8,1,0,0.0,Yes,Yes
S0260,Hazel,Martinez,13,Female,7,81.0,40,64,42,48.67,68.1,1,1,14.2,Yes,Yes
S0261,Aaron,Rivera,15,Male,9,90.4,97,91,82,90.0,96.1,1,0,2.4,Yes,No
S0262,Caleb,Ward,15,Male,9,90.5,52,77,74,67.67,73.9,1,0,18.4,Yes,No
S0263,Matthew,Sanchez,17,Male,11,72.1,95,74,45,71.33,93.9,1,2,19.0,No,Yes
S0264,Grayson,Gutierrez,14,Male,8,92.1,89,68,41,66.0,92.6,2,0,16.6,No,No
S0265,Abigail,Taylor,12,Female,6,87.2,79,68,67,71.33,86.3,3,2,5.9,No,Yes
